model,term,formula,exposure_definition,estimate,hc1_se,hc1_ci_low,hc1_ci_high,cluster_se,cluster_ci_low,cluster_ci_high,cluster_p,n_observations,n_clusters,interpretation
"Repeated embedding (time-respecting, primary)",1 realized films vs none,"attention ~ C(movie_count_by_snapshot_cat, Treatment(reference='0')) + age + I(age**2) + weeks + peak_pos + C(snapshot)",distinct films realized by each snapshot,9.245155399621526,0.15251298950054082,8.946229940200466,9.544080859042586,0.26370344667035717,8.728296644147626,9.762014155095425,2.8524328417283214e-269,83780,28281,repeated-embedding attention gradient
"Repeated embedding (time-respecting, primary)",2-3 realized films vs none,"attention ~ C(movie_count_by_snapshot_cat, Treatment(reference='0')) + age + I(age**2) + weeks + peak_pos + C(snapshot)",distinct films realized by each snapshot,16.721394950018933,0.20317264460023288,16.323176566602477,17.11961333343539,0.3410767340622617,16.0528845512569,17.389905348780967,0.0,83780,28281,repeated-embedding attention gradient
"Repeated embedding (time-respecting, primary)",4+ realized films vs none,"attention ~ C(movie_count_by_snapshot_cat, Treatment(reference='0')) + age + I(age**2) + weeks + peak_pos + C(snapshot)",distinct films realized by each snapshot,24.185893522445422,0.2488724547326978,23.698103511169336,24.67368353372151,0.4243250738500351,23.354216377699352,25.017570667191492,0.0,83780,28281,repeated-embedding attention gradient
"Film visibility (continuous, time-respecting, primary)",log1p max worldwide box office realized by snapshot,attention ~ log1p_max_worldwide_by_snapshot + age + I(age**2) + weeks + peak_pos + movie_count_by_snapshot + C(snapshot),maximum worldwide box office realized by each snapshot,1.1465161099362855,0.05812875272916356,1.032583754587125,1.260448465285446,0.1016077851941251,0.9473648509558004,1.3456673689167706,1.5788276576794797e-29,15245,4294,film-level visibility gradient among film-linked observations
Song event-time model (broad),pre (<= -2 years),"attention ~ C(event_bin, Treatment(reference='-1')) + age + I(age**2) + weeks + peak_pos + C(snapshot)",years relative to first observed film appearance; never-film and immediate pre-year form the omitted reference,9.498560395125045,0.671071322636309,8.18326060275788,10.81386018749221,0.8649671980999472,7.803224686849148,11.193896103400942,4.695314867252823e-28,83785,28281,temporal consistency and selection pattern
Song event-time model (broad),event year,"attention ~ C(event_bin, Treatment(reference='-1')) + age + I(age**2) + weeks + peak_pos + C(snapshot)",years relative to first observed film appearance; never-film and immediate pre-year form the omitted reference,11.230390429784354,0.9079895394820945,9.450730932399448,13.01004992716926,0.911015894497877,9.444799276568515,13.015981583000192,6.455308180477713e-35,83785,28281,temporal consistency and selection pattern
Song event-time model (broad),1-5 years post,"attention ~ C(event_bin, Treatment(reference='-1')) + age + I(age**2) + weeks + peak_pos + C(snapshot)",years relative to first observed film appearance; never-film and immediate pre-year form the omitted reference,10.160895669971966,0.35684071599862544,9.461487866614661,10.860303473329271,0.4359162188604738,9.306499881005438,11.015291458938494,3.5691834248706454e-120,83785,28281,temporal consistency and selection pattern
Song event-time model (broad),>5 years post,"attention ~ C(event_bin, Treatment(reference='-1')) + age + I(age**2) + weeks + peak_pos + C(snapshot)",years relative to first observed film appearance; never-film and immediate pre-year form the omitted reference,14.18017940610023,0.13632400827087066,13.912984349889323,14.447374462311137,0.2389526113549733,13.711832287844482,14.648526524355978,0.0,83785,28281,temporal consistency and selection pattern
