covariate,treated_mean_before,control_mean_before,smd_before,treated_mean_after,control_mean_after,smd_after,design,snapshot,platform,family
chart_year,1982.848,1986.9673,-0.2309,1982.848,1983.1564,-0.0179,catalog baseline-attention + artist-success NN,2022-08,Spotify,artist-catalog matching
age,39.802,35.6827,0.2309,39.802,39.4936,0.0179,catalog baseline-attention + artist-success NN,2022-08,Spotify,artist-catalog matching
weeks,10.7816,11.0207,-0.0317,10.7816,10.8576,-0.0106,catalog baseline-attention + artist-success NN,2022-08,Spotify,artist-catalog matching
peak_pos,46.1718,50.8255,-0.1593,46.1718,45.6678,0.0175,catalog baseline-attention + artist-success NN,2022-08,Spotify,artist-catalog matching
artist_billboard_songs,21.7777,11.8811,0.3571,21.7777,18.5036,0.1514,catalog baseline-attention + artist-success NN,2022-08,Spotify,artist-catalog matching
artist_total_weeks_excl_song,226.8836,71.1269,0.9255,226.8836,189.6336,0.2008,catalog baseline-attention + artist-success NN,2022-08,Spotify,artist-catalog matching
artist_mean_weeks_excl_song,12.0308,10.5993,0.2643,12.0308,11.9659,0.0141,catalog baseline-attention + artist-success NN,2022-08,Spotify,artist-catalog matching
artist_best_peak_excl_song,6.8505,27.1255,-0.9685,6.8505,7.6928,-0.0726,catalog baseline-attention + artist-success NN,2022-08,Spotify,artist-catalog matching
artist_superstar_top1pct,0.2258,0.0569,0.4996,0.2258,0.2184,0.0178,catalog baseline-attention + artist-success NN,2022-08,Spotify,artist-catalog matching
previous_popularity,32.9209,30.8804,0.1025,32.9209,32.753,0.0088,catalog baseline-attention + artist-success NN,2022-08,Spotify,artist-catalog matching
chart_year,1986.3129,1992.5424,-0.2907,1986.3129,1986.5958,-0.0138,catalog historical + artist-success NN,2025,Spotify,artist-catalog matching
age,39.3371,33.1076,0.2907,39.3371,39.0542,0.0138,catalog historical + artist-success NN,2025,Spotify,artist-catalog matching
weeks,10.1225,10.1212,0.0002,10.1225,10.0947,0.0036,catalog historical + artist-success NN,2025,Spotify,artist-catalog matching
peak_pos,47.0469,51.797,-0.1628,47.0469,46.9573,0.0031,catalog historical + artist-success NN,2025,Spotify,artist-catalog matching
artist_billboard_songs,27.2313,12.4243,0.4581,27.2313,21.9608,0.1784,catalog historical + artist-success NN,2025,Spotify,artist-catalog matching
artist_total_weeks_excl_song,252.6609,83.5847,0.7882,252.6609,226.041,0.1112,catalog historical + artist-success NN,2025,Spotify,artist-catalog matching
artist_mean_weeks_excl_song,11.603,10.1515,0.2639,11.603,11.7701,-0.0351,catalog historical + artist-success NN,2025,Spotify,artist-catalog matching
artist_best_peak_excl_song,6.691,24.4014,-0.8665,6.691,6.802,-0.0098,catalog historical + artist-success NN,2025,Spotify,artist-catalog matching
artist_superstar_top1pct,0.2448,0.0755,0.4743,0.2448,0.2448,0.0,catalog historical + artist-success NN,2025,Spotify,artist-catalog matching
chart_year,1985.1917,1989.2545,-0.2054,1985.1917,1985.4061,-0.0111,catalog baseline-attention + artist-success NN,2025,Spotify,artist-catalog matching
age,40.4583,36.3955,0.2054,40.4583,40.2439,0.0111,catalog baseline-attention + artist-success NN,2025,Spotify,artist-catalog matching
weeks,10.4195,10.7151,-0.0374,10.4195,10.3649,0.0073,catalog baseline-attention + artist-success NN,2025,Spotify,artist-catalog matching
peak_pos,46.8701,50.8397,-0.1358,46.8701,46.9311,-0.0021,catalog baseline-attention + artist-success NN,2025,Spotify,artist-catalog matching
artist_billboard_songs,24.7903,12.6842,0.4014,24.7903,20.4204,0.1682,catalog baseline-attention + artist-success NN,2025,Spotify,artist-catalog matching
artist_total_weeks_excl_song,239.3536,83.1603,0.8059,239.3536,210.656,0.1317,catalog baseline-attention + artist-success NN,2025,Spotify,artist-catalog matching
artist_mean_weeks_excl_song,11.7899,10.3775,0.2618,11.7899,11.8535,-0.0134,catalog baseline-attention + artist-success NN,2025,Spotify,artist-catalog matching
artist_best_peak_excl_song,6.8422,24.6068,-0.8633,6.8422,7.1733,-0.0288,catalog baseline-attention + artist-success NN,2025,Spotify,artist-catalog matching
artist_superstar_top1pct,0.2327,0.0754,0.4467,0.2327,0.2313,0.0033,catalog baseline-attention + artist-success NN,2025,Spotify,artist-catalog matching
previous_popularity,37.7297,37.0801,0.0303,37.7297,37.6869,0.0021,catalog baseline-attention + artist-success NN,2025,Spotify,artist-catalog matching
chart_year,1983.2184,1988.024,-0.2718,1983.2184,1983.524,-0.018,catalog baseline-attention + artist-success NN,2017-07,Last.fm,artist-catalog matching
age,34.3316,29.526,0.2718,34.3316,34.026,0.018,catalog baseline-attention + artist-success NN,2017-07,Last.fm,artist-catalog matching
weeks,11.2057,11.4239,-0.0285,11.2057,11.2946,-0.0124,catalog baseline-attention + artist-success NN,2017-07,Last.fm,artist-catalog matching
peak_pos,44.9386,49.5545,-0.1576,44.9386,44.3511,0.0204,catalog baseline-attention + artist-success NN,2017-07,Last.fm,artist-catalog matching
artist_billboard_songs,20.4978,12.5242,0.3099,20.4978,17.8554,0.1646,catalog baseline-attention + artist-success NN,2017-07,Last.fm,artist-catalog matching
artist_total_weeks_excl_song,222.8976,75.2263,0.9578,222.8976,194.9535,0.1623,catalog baseline-attention + artist-success NN,2017-07,Last.fm,artist-catalog matching
artist_mean_weeks_excl_song,12.2159,10.7449,0.2704,12.2159,12.1833,0.0071,catalog baseline-attention + artist-success NN,2017-07,Last.fm,artist-catalog matching
artist_best_peak_excl_song,6.9273,26.4741,-0.9511,6.9273,7.8896,-0.0822,catalog baseline-attention + artist-success NN,2017-07,Last.fm,artist-catalog matching
artist_superstar_top1pct,0.2261,0.0611,0.484,0.2261,0.2257,0.0011,catalog baseline-attention + artist-success NN,2017-07,Last.fm,artist-catalog matching
previous_popularity,29.487,29.3791,0.0058,29.487,29.3065,0.0099,catalog baseline-attention + artist-success NN,2017-07,Last.fm,artist-catalog matching
