design,snapshot,n_treated_available,n_matched_treated,n_unique_controls,n_controls_available,replacement,estimate,std_error,conf_low,conf_high,p_value,max_abs_smd_before,max_abs_smd_after
historical + artist-success NN,2016-10,3825,3825,2749,13522,with replacement,10.165490196078432,0.2586917495303024,9.65845436699904,10.672526025157824,5.361794688996198e-284,0.6915672247536988,0.031383005292810455
historical + artist-success NN,2017-07,4133,4133,2961,14056,with replacement,11.18243406726349,0.260000637263132,10.67283281822775,11.69203531629923,0.0,0.741834018982197,0.0263047037717724
baseline-attention + historical + artist-success NN,2017-07,3798,3798,2307,11415,with replacement,1.9520800421274356,0.12916312712553568,1.6989203129613857,2.2052397712934857,3.7067205356481747e-50,0.7721972543900385,0.04605429583580075
historical + artist-success NN,2022-08,4373,4373,3197,17732,with replacement,11.257946489823919,0.2776853446530574,10.713683214303927,11.80220976534391,2.378676505141724e-305,0.7488507920106332,0.024057900136602278
baseline-attention + historical + artist-success NN,2022-08,3950,3950,2469,13037,with replacement,2.231392405063291,0.16967167590603555,1.8988359202874614,2.5639488898391205,1.0771068241189024e-38,0.8371628362245838,0.04050521657342852
historical + artist-success NN,2025,4616,4616,3426,21528,with replacement,11.675259965337954,0.2679384282368289,11.150100645993769,12.20041928468214,0.0,0.7597863326382694,0.022695880981778417
baseline-attention + historical + artist-success NN,2025,4349,4349,2829,17246,with replacement,1.955851919981605,0.13478766415775123,1.6916680982324124,2.2200357417307974,1.2559387342188522e-46,0.8259364706746889,0.03948341422748695
