age_int,attention,n,sd,age,snapshot
59,18.671679197994987,399,14.12915923332121,59.65000000000009,2022-08
60,18.208333333333332,408,13.949830401218806,60.65000000000009,2022-08
61,17.986078886310906,431,14.630639757214656,61.65000000000009,2022-08
62,18.038123167155426,341,15.337622371037497,62.65000000000009,2022-08
63,17.003225806451614,310,14.128970991395915,63.65000000000009,2022-08
64,16.420212765957448,188,13.722186880694826,64.65000000000009,2022-08
0,72.53164556962025,395,9.350799313044954,0.650000000000091,2025
1,67.89503816793894,524,9.979062890594918,1.650000000000091,2025
2,65.10794297352342,491,10.558803177231638,2.650000000000091,2025
3,62.744,500,11.067223267907961,3.650000000000091,2025
4,61.477223427331886,461,10.743553258662189,4.650000000000091,2025
5,60.83089770354906,479,10.612941369208158,5.650000000000091,2025
6,64.83651226158038,367,10.241642032325283,6.650000000000091,2025
7,62.047120418848166,382,11.5243838070607,7.650000000000091,2025
8,62.780575539568346,278,11.585440743134665,8.650000000000091,2025
9,62.10727969348659,261,12.301812900885537,9.650000000000093,2025
10,59.586776859504134,242,13.77361083896894,10.650000000000093,2025
11,57.60765550239235,209,14.94570747341024,11.650000000000093,2025
12,56.28095238095238,210,13.81982900508465,12.650000000000093,2025
13,50.9,220,17.567066530414753,13.650000000000093,2025
14,48.14968152866242,314,18.06448910629401,14.650000000000095,2025
15,50.01013513513514,296,16.057414950636698,15.650000000000095,2025
16,50.31768953068592,277,15.76549655414988,16.65000000000009,2025
17,52.5761316872428,243,16.680188372673612,17.650000000000095,2025
18,53.01932367149758,207,15.233127337234398,18.65000000000009,2025
19,50.943231441048034,229,15.737744049183272,19.650000000000087,2025
20,53.05882352941177,221,15.802507754685598,20.650000000000087,2025
21,49.31460674157304,178,15.323329214177184,21.65000000000009,2025
22,50.26923076923077,182,15.896732992882658,22.65000000000009,2025
23,49.67455621301775,169,14.81535171297873,23.65000000000009,2025
24,49.1437125748503,167,16.42004191514755,24.650000000000095,2025
25,45.51923076923077,208,16.70111267619067,25.65000000000009,2025
26,44.588832487309645,197,17.23808305187757,26.650000000000087,2025
27,41.95774647887324,213,17.966507062580735,27.650000000000087,2025
