covariate,treated_mean_before,control_mean_before,smd_before,treated_mean_after,control_mean_after,smd_after,design,snapshot,family
chart_year,1981.644183006536,1986.6337819849134,-0.29455516238401214,1981.644183006536,1981.8423529411764,-0.012848778813760727,historical + artist-success NN,2016-10,song film-linked matching
age,35.15581699346401,30.166218015086482,0.29455516238401697,35.15581699346401,34.95764705882348,0.012848778813767637,historical + artist-success NN,2016-10,song film-linked matching
weeks,15.795032679738561,11.624685697382045,0.4966564135630634,15.795032679738561,15.522875816993464,0.031383005292810455,historical + artist-success NN,2016-10,song film-linked matching
peak_pos,26.441830065359476,46.15715130897796,-0.6915672247536988,26.441830065359476,26.651503267973855,-0.007706961491078343,historical + artist-success NN,2016-10,song film-linked matching
artist_catalog_size_excl_song,14.698039215686274,14.324508208844845,0.01857799355808343,14.698039215686274,14.58718954248366,0.007117447873403846,historical + artist-success NN,2016-10,song film-linked matching
artist_total_weeks_excl_song,167.34666666666666,142.4271557461914,0.14276394328112355,167.34666666666666,166.19607843137254,0.0065126387004454745,historical + artist-success NN,2016-10,song film-linked matching
artist_mean_weeks_excl_song,11.54573648740041,11.619593775118046,-0.014569506409457575,11.54573648740041,11.555901903650463,-0.002131399259803563,historical + artist-success NN,2016-10,song film-linked matching
artist_best_peak_excl_song,13.495733788395905,14.092741200072952,-0.02819270963005465,13.495733788395905,13.252936121455171,0.011361534201250741,historical + artist-success NN,2016-10,song film-linked matching
artist_superstar_top1pct,0.16679738562091503,0.1396982694867623,0.0752747544855212,0.16679738562091503,0.16679738562091503,0.0,historical + artist-success NN,2016-10,song film-linked matching
chart_year,1981.620856520687,1984.2141434262949,-0.15493156930637794,1981.620856520687,1981.7532059037019,-0.008517116884738506,historical + artist-success NN,2017-07,song film-linked matching
age,35.929143479312806,33.335856573705136,0.15493156930637114,35.929143479312806,35.79679409629804,0.00851711688473622,historical + artist-success NN,2017-07,song film-linked matching
weeks,15.61287200580692,10.801010244735345,0.5872242831787056,15.61287200580692,15.38301475925478,0.0263047037717724,historical + artist-success NN,2017-07,song film-linked matching
peak_pos,27.123155093152672,48.2598890153671,-0.741834018982197,27.123155093152672,27.357125574643117,-0.00851591812239976,historical + artist-success NN,2017-07,song film-linked matching
artist_catalog_size_excl_song,15.141059762884103,16.53564314171884,-0.059573787843409894,15.141059762884103,15.024679409629808,0.006203172311323007,historical + artist-success NN,2017-07,song film-linked matching
artist_total_weeks_excl_song,169.76530365352045,161.16953614114968,0.045335963413324916,169.76530365352045,168.89329784660052,0.004627140949241505,historical + artist-success NN,2017-07,song film-linked matching
artist_mean_weeks_excl_song,11.527152730684268,11.479100529770209,0.009587658716004024,11.527152730684268,11.541584037051479,-0.0030363219375156834,historical + artist-success NN,2017-07,song film-linked matching
artist_best_peak_excl_song,13.368781258225848,13.819043824701195,-0.02137769791803009,13.368781258225848,13.156332803391628,0.01001707881314419,historical + artist-success NN,2017-07,song film-linked matching
artist_superstar_top1pct,0.16840067747398985,0.1535998861696073,0.04027579100391091,0.16840067747398985,0.16840067747398985,0.0,historical + artist-success NN,2017-07,song film-linked matching
chart_year,1981.6377040547657,1985.1794130530004,-0.21348278098314724,1981.6377040547657,1982.3525539757768,-0.04605429583580075,baseline-attention + historical + artist-success NN,2017-07,song film-linked matching
age,35.912295945234284,32.370586946999516,0.2134827809831481,35.912295945234284,35.197446024223225,0.04605429583579571,baseline-attention + historical + artist-success NN,2017-07,song film-linked matching
weeks,15.79594523433386,11.300919842312746,0.5468548205345353,15.79594523433386,15.54844655081622,0.028839436644849174,baseline-attention + historical + artist-success NN,2017-07,song film-linked matching
peak_pos,26.389942074776197,46.79237844940867,-0.7200361437411006,26.389942074776197,26.01658767772512,0.013786346381116418,baseline-attention + historical + artist-success NN,2017-07,song film-linked matching
artist_catalog_size_excl_song,14.711690363349131,16.211038107752955,-0.07281594121649136,14.711690363349131,14.582411795681939,0.008326029320232325,baseline-attention + historical + artist-success NN,2017-07,song film-linked matching
artist_total_weeks_excl_song,167.6708794102159,162.89505037231712,0.027073138270041746,167.6708794102159,166.9702474986835,0.0039816039633792455,baseline-attention + historical + artist-success NN,2017-07,song film-linked matching
artist_mean_weeks_excl_song,11.553721166053526,11.722768613108888,-0.03356357646870184,11.553721166053526,11.602714331304647,-0.01033094529473148,baseline-attention + historical + artist-success NN,2017-07,song film-linked matching
artist_best_peak_excl_song,13.45863154881191,13.547197353055664,-0.004244587971021975,13.45863154881191,12.904995668495523,0.026102252089719582,baseline-attention + historical + artist-success NN,2017-07,song film-linked matching
