platform,snapshot,label,raw_outcome,raw_estimate,raw_conf_low,raw_conf_high,standardized_estimate,std_error,conf_low,conf_high,p_value,n
Spotify,2016-10,Spotify October 2016,Spotify popularity,12.275286330653572,11.78432133152047,12.766251329786673,0.6346270151870841,0.012950346403512674,0.6092443362361992,0.660009694137969,0.0,17347
Spotify,2017-07,Spotify July 2017,Spotify popularity,13.35792308661417,12.85918545086423,13.85666072236411,0.6617043710872155,0.012604950247679459,0.6369986686017637,0.6864100735726673,0.0,18189
Spotify,2022-08,Spotify August 2022,Spotify popularity,14.292160808993708,13.785289583143525,14.799032034843892,0.6631988207162234,0.012000170530593197,0.6396784864762607,0.6867191549561861,0.0,22105
Spotify,2025,Spotify August 2025,Spotify popularity,15.088692233867715,14.59567992132396,15.58170454641147,0.6639012231877135,0.011067602752973678,0.642208721791885,0.685593724583542,0.0,26144
Last.fm,2017-07,Last.fm July 2017,log1p Last.fm listeners,1.7791523257869042,1.7169031288877123,1.841401522686096,0.740475246818482,0.013218284465715796,0.7145674092656791,0.7663830843712849,0.0,17988
