platform,snapshot,estimate,std_error,conf_low,conf_high,p_value,n_song_snapshots,n_film_linked
Spotify,2016-10,12.275286330653572,0.25049234649648056,11.78432133152047,12.766251329786673,0.0,17347,3825
Spotify,2017-07,13.35792308661417,0.2544579774234385,12.85918545086423,13.85666072236411,0.0,18189,4133
Spotify,2022-08,14.292160808993708,0.25860776829090987,13.785289583143525,14.799032034843892,0.0,22105,4373
Spotify,2025,15.088692233867715,0.2515368941549766,14.59567992132396,15.58170454641147,0.0,26144,4616
Spotify,pooled,13.791698187546864,0.12790695490946538,13.541000555924311,14.042395819169416,0.0,83785,16947
Last.fm,2017-07,1.7791523257869042,0.03175979433632239,1.7169031288877123,1.841401522686096,0.0,17988,4090
