age_int,film_linked,mean_log1p_listeners,sem,n,age
0,0,9.712824658181585,0.16476363032090102,144,0.5499999999999545
0,1,10.865680175783773,0.38763434406228287,19,0.5499999999999545
1,0,9.926401296405446,0.11896835921683947,232,1.5499999999999543
1,1,10.838405996041232,0.31095303503092947,21,1.549999999999954
2,0,9.99179431856528,0.14228543308662073,213,2.5499999999999545
2,1,11.345839235917067,0.20429257764088588,30,2.5499999999999545
3,0,10.226962912541673,0.13861349331428324,196,3.5499999999999545
3,1,12.09686669487015,0.11618379113146625,43,3.5499999999999545
4,0,10.375262181280943,0.139975614055932,210,4.5499999999999545
4,1,11.817374822914397,0.24559173481277607,35,4.5499999999999545
5,0,10.620941350558025,0.12375317571191671,196,5.5499999999999545
5,1,12.40809788378595,0.1470333105924962,38,5.5499999999999545
6,0,10.463090360301376,0.10959256436411868,281,6.5499999999999545
6,1,11.920525869705383,0.20813795085420458,38,6.5499999999999545
7,0,10.680100711182796,0.12383493910740775,269,7.549999999999955
7,1,12.341404918726111,0.21716593433786796,29,7.549999999999955
8,0,11.18018959080867,0.08952180281645156,259,8.549999999999955
8,1,12.483349865373727,0.15512966671140307,44,8.549999999999955
9,0,11.231413250805614,0.12160066614486499,227,9.549999999999956
9,1,12.484480050809042,0.24018641838455948,38,9.549999999999956
10,0,11.539075284651181,0.09685738288005388,188,10.549999999999956
10,1,12.361054091224366,0.16572724460918822,47,10.549999999999956
11,0,11.214496856500602,0.10270312169984959,205,11.549999999999956
11,1,12.353364957031895,0.17940101326833666,49,11.549999999999956
12,0,11.17933077584076,0.11015766005028516,214,12.549999999999956
12,1,12.367727865150774,0.2270414301248082,46,12.549999999999956
13,0,10.787560428238498,0.14144042297526496,163,13.549999999999956
13,1,12.566281173044834,0.16656235871223474,38,13.549999999999958
14,0,10.82911782373898,0.11595499810367345,168,14.549999999999958
14,1,12.361742655162129,0.1691210292710232,42,14.549999999999958
15,0,10.662077089142235,0.13166691118156754,152,15.549999999999958
15,1,12.192997496122231,0.18283709641471696,50,15.549999999999956
16,0,10.524362048051744,0.13903378315403947,142,16.549999999999955
16,1,12.023610353943655,0.17432180393114122,56,16.549999999999955
17,0,10.083352670726121,0.14701107977198244,161,17.549999999999955
17,1,11.672179125357413,0.23062821170046427,49,17.549999999999955
18,0,10.136447793373327,0.15684744659577524,137,18.549999999999955
