model,term,formula,exposure_definition,estimate,hc1_se,cluster_se,cluster_ci_low,cluster_ci_high,cluster_p,n_observations,n_clusters,interpretation
Pooled broad Spotify film-linked premium,film_linked,attention ~ film_linked + age + I(age**2) + weeks + peak_pos + C(snapshot),ever film-linked (exact IMDb soundtrack linkage),13.791698187546864,0.12790695490946538,0.22692858570470306,13.346918159565645,14.236478215528082,0.0,83785,28281,selection-adjusted attention-regime association
Pooled standardized Spotify film-linked premium,film_linked,standardized attention ~ film_linked + age + I(age**2) + weeks + peak_pos + C(snapshot),ever film-linked,0.6559128983728086,0.006052343086299882,0.010787349257245843,0.6347696938286068,0.6770561029170105,0.0,83785,28281,standardized attention-regime association
