comparison,n_matched_pairs,n_unique_controls,control_reuse_share,estimate,naive_paired_se,naive_ci_low,naive_ci_high,boot_treated_se,boot_treated_ci_low,boot_treated_ci_high,cluster_control_se,cluster_control_ci_low,cluster_control_ci_high,design,snapshot,variant
baseline-attention + historical + artist-success NN | 2025 (with replacement),4349,2829.0,0.3495056334789607,1.955851919981605,0.13478766415775123,1.6916680982324124,2.2200357417307974,0.12765902931551598,1.7284720625431134,2.224511381926879,0.16695942874050373,1.6267347637070457,2.2918066507714703,baseline-attention + historical + artist-success NN,2025,with replacement
historical + artist-success NN | 2025 (with replacement),4616,3426.0,0.2577989601386482,11.675259965337954,0.2679384282368289,11.150100645993769,12.20041928468214,0.2632804053082682,11.092628899480069,12.168592937608318,0.3334380216453411,11.016985452158805,12.358290662294461,historical + artist-success NN,2025,with replacement
historical + artist-success NN | 2025 (no replacement),4561,4561.0,0.0,12.533654900241174,0.27821162247550946,11.988360120189176,13.078949680293173,,,,,,,historical + artist-success NN,2025,no replacement
baseline-attention + historical + artist-success NN | 2025 (no replacement),3746,3745.0,0.0,2.3192738921516285,0.15359395272958717,2.0182297448016375,2.6203180395016195,,,,,,,baseline-attention + historical + artist-success NN,2025,no replacement
baseline-attention + historical + artist-success NN | 2025 (stricter caliper 2.0),4341,2844.0,0.3448514167242571,1.3448514167242571,0.13441108502492266,1.0814056900754088,1.6082971433731055,,,,,,,baseline-attention + historical + artist-success NN,2025,stricter caliper
baseline-attention + historical + artist-success NN | 2025 (CEM decade x baseline-pop quintile),4339,,,3.0285195719192557,,,,,,,,,,baseline-attention + historical + artist-success NN,2025,CEM
